,YEAR,SEX,AGE_GROUP,deaths,rate
202,1984,Males,65–69,13.0,5.2
203,1984,Males,70–74,6.0,3.0
204,1984,Males,75–79,4.0,3.3
205,1984,Males,80–84,3.0,4.9
206,1984,Males,85+,1.0,3.3
207,1984,Males,Missing,1.0,
208,1984,Females,0–4,26.0,4.5
209,1984,Females,5–9,2.0,0.3
210,1984,Females,10–14,0.0,0.0
211,1984,Females,15–19,2.0,0.3
212,1984,Females,20–24,0.0,0.0
213,1984,Females,25–29,1.0,0.2
214,1984,Females,30–34,1.0,0.2
215,1984,Females,35–39,0.0,0.0
216,1984,Females,40–44,1.0,0.2
217,1984,Females,45–49,1.0,0.3
218,1984,Females,50–54,1.0,0.3
219,1984,Females,55–59,0.0,0.0
220,1984,Females,60–64,4.0,1.1
221,1984,Females,65–69,4.0,1.4
222,1984,Females,70–74,2.0,0.8
223,1984,Females,75–79,4.0,2.3
224,1984,Females,80–84,1.0,0.9
225,1984,Females,85+,0.0,0.0
226,1984,Females,Missing,0.0,
227,1985,Males,0–4,54.0,8.8
228,1985,Males,5–9,22.0,3.7
229,1985,Males,10–14,7.0,1.0
230,1985,Males,15–19,12.0,1.8
231,1985,Males,20–24,17.0,2.5
232,1985,Males,25–29,20.0,3.0
233,1985,Males,30–34,11.0,1.8
234,1985,Males,35–39,15.0,2.4
235,1985,Males,40–44,16.0,3.2
236,1985,Males,45–49,16.0,3.8
237,1985,Males,50–54,7.0,1.9
238,1985,Males,55–59,14.0,3.6
239,1985,Males,60–64,12.0,3.5
240,1985,Males,65–69,4.0,1.6
241,1985,Males,70–74,4.0,1.9
242,1985,Males,75–79,2.0,1.6
243,1985,Males,80–84,1.0,1.6
244,1985,Males,85+,0.0,0.0
245,1985,Males,Missing,0.0,
246,1985,Females,0–4,28.0,4.8
247,1985,Females,5–9,2.0,0.3
248,1985,Females,10–14,2.0,0.3
249,1985,Females,15–19,1.0,0.2
250,1985,Females,20–24,3.0,0.5
251,1985,Females,25–29,1.0,0.2
252,1985,Females,30–34,1.0,0.2
253,1985,Females,35–39,2.0,0.3
254,1985,Females,40–44,2.0,0.4
255,1985,Females,45–49,1.0,0.3
256,1985,Females,50–54,2.0,0.6
257,1985,Females,55–59,3.0,0.8
258,1985,Females,60–64,0.0,0.0
259,1985,Females,65–69,0.0,0.0
260,1985,Females,70–74,3.0,1.2
261,1985,Females,75–79,3.0,1.6
262,1985,Females,80–84,3.0,2.6
263,1985,Females,85+,3.0,3.4
264,1985,Females,Missing,0.0,
265,1986,Males,0–4,55.0,8.9
266,1986,Males,5–9,9.0,1.5
267,1986,Males,10–14,4.0,0.6
268,1986,Males,15–19,21.0,3.0
269,1986,Males,20–24,19.0,2.8
270,1986,Males,25–29,21.0,3.1
271,1986,Males,30–34,8.0,1.3
272,1986,Males,35–39,16.0,2.5
273,1986,Males,40–44,12.0,2.3
274,1986,Males,45–49,10.0,2.3
275,1986,Males,50–54,8.0,2.1
276,1986,Males,55–59,6.0,1.6
277,1986,Males,60–64,6.0,1.7
278,1986,Males,65–69,7.0,2.6
279,1986,Males,70–74,8.0,3.8
280,1986,Males,75–79,3.0,2.3
281,1986,Males,80–84,2.0,3.0
282,1986,Males,85+,0.0,0.0
283,1986,Males,Missing,1.0,
284,1986,Females,0–4,21.0,3.6
285,1986,Females,5–9,0.0,0.0
286,1986,Females,10–14,2.0,0.3
287,1986,Females,15–19,3.0,0.5
288,1986,Females,20–24,2.0,0.3
289,1986,Females,25–29,1.0,0.1
290,1986,Females,30–34,2.0,0.3
291,1986,Females,35–39,0.0,0.0
292,1986,Females,40–44,2.0,0.4
293,1986,Females,45–49,1.0,0.2
294,1986,Females,50–54,2.0,0.6
295,1986,Females,55–59,3.0,0.8
296,1986,Females,60–64,3.0,0.8
297,1986,Females,65–69,3.0,1.0
298,1986,Females,70–74,4.0,1.5
299,1986,Females,75–79,2.0,1.0
300,1986,Females,80–84,1.0,0.8
301,1986,Females,85+,1.0,1.1
302,1986,Females,Missing,0.0,
303,1987,Males,0–4,62.0,9.9
304,1987,Males,5–9,10.0,1.6
305,1987,Males,10–14,5.0,0.8
306,1987,Males,15–19,10.0,1.4
307,1987,Males,20–24,15.0,2.2
308,1987,Males,25–29,21.0,3.0
309,1987,Males,30–34,19.0,2.9
310,1987,Males,35–39,15.0,2.4
311,1987,Males,40–44,13.0,2.3
312,1987,Males,45–49,15.0,3.4
313,1987,Males,50–54,9.0,2.3
314,1987,Males,55–59,18.0,4.7
315,1987,Males,60–64,3.0,0.8
316,1987,Males,65–69,10.0,3.6
317,1987,Males,70–74,6.0,2.8
318,1987,Males,75–79,3.0,2.2
319,1987,Males,80–84,2.0,2.8
320,1987,Males,85+,1.0,2.8
321,1987,Males,Missing,1.0,
322,1987,Females,0–4,18.0,3.0
323,1987,Females,5–9,7.0,1.2
324,1987,Females,10–14,0.0,0.0
325,1987,Females,15–19,0.0,0.0
326,1987,Females,20–24,2.0,0.3
327,1987,Females,25–29,4.0,0.6
328,1987,Females,30–34,2.0,0.3
329,1987,Females,35–39,2.0,0.3
330,1987,Females,40–44,2.0,0.4
331,1987,Females,45–49,0.0,0.0
332,1987,Females,50–54,1.0,0.3
333,1987,Females,55–59,0.0,0.0
334,1987,Females,60–64,3.0,0.8
335,1987,Females,65–69,0.0,0.0
336,1987,Females,70–74,3.0,1.1
337,1987,Females,75–79,5.0,2.5
338,1987,Females,80–84,5.0,4.0
339,1987,Females,85+,1.0,1.0
340,1987,Females,Missing,0.0,
341,1988,Males,0–4,53.0,8.4
342,1988,Males,5–9,14.0,2.2
